dates,venue,city,home_team,team_1,team_2,total_matches_team1,total_matches_team2,toss_winner,total_wins_team1,total_wins_team2,toss_decision,umpire_1,umpire_2,match_winner,head_to_head,total_loses_team1,total_loses_team2,win_ratio_team1,win_ratio_team2,lose_ratio_team1,lose_ratio_team2
2020-12-08,Sydney Cricket Ground,Sydney,Australia,Australia,India,131,,India,,,field,GA Abood,RJ Tucker,Australia,,,,,,,
2020-12-18,Eden Park,Auckland,New Zealand,Pakistan,New Zealand,,,Pakistan,,,bat,SB Haig,WR Knights,New Zealand,,,,,,,
2020-12-20,Seddon Park,Hamilton,New Zealand,Pakistan,New Zealand,,,Pakistan,,,bat,CM Brown,SB Haig,New Zealand,,,,,,,
2020-12-22,McLean Park,Napier,New Zealand,New Zealand,Pakistan,,,Pakistan,,,field,CM Brown,WR Knights,Pakistan,,,,,,,
2021-02-11,Gaddafi Stadium,Lahore,Pakistan,Pakistan,South Africa,,,South Africa,,,field,Ahsan Raza,Aleem Dar,Pakistan,,,,,,,
2021-02-13,Gaddafi Stadium,Lahore,Pakistan,Pakistan,South Africa,,,South Africa,,,field,Asif Yaqoob,Shozab Raza,South Africa,,,,,,,
2021-02-14,Gaddafi Stadium,Lahore,Pakistan,South Africa,Pakistan,,,Pakistan,,,field,Aleem Dar,Rashid Riaz,Pakistan,,,,,,,
2021-02-22,Hagley Oval,Christchurch,New Zealand,New Zealand,Australia,,132,Australia,,,field,CM Brown,CB Gaffaney,New Zealand,,,,,,,
2021-02-25,University Oval,Dunedin,New Zealand,New Zealand,Australia,,133,Australia,,,field,CB Gaffaney,SB Haig,New Zealand,,,,,,,
2021-03-03,Coolidge Cricket Ground,Coolidge,West Indies,Sri Lanka,West Indies,,,West Indies,,,field,GO Brathwaite,N Duguid,West Indies,,,,,,,
2021-03-03,Westpac Stadium,Wellington,New Zealand,Australia,New Zealand,134,,New Zealand,,,field,CB Gaffaney,WR Knights,Australia,,,,,,,
2021-03-05,Coolidge Cricket Ground,Coolidge,West Indies,Sri Lanka,West Indies,,,Sri Lanka,,,bat,LS Reifer,N Duguid,Sri Lanka,,,,,,,
2021-03-05,Westpac Stadium,Wellington,New Zealand,Australia,New Zealand,135,,Australia,,,bat,CM Brown,WR Knights,Australia,,,,,,,
2021-03-07,Coolidge Cricket Ground,Coolidge,West Indies,Sri Lanka,West Indies,,,Sri Lanka,,,bat,JS Wilson,PA Gustard,West Indies,,,,,,,
2021-03-07,Sky Stadium,Wellington,New Zealand,Australia,New Zealand,136,,Australia,,,bat,CB Gaffaney,WR Knights,New Zealand,,,,,,,
2021-03-12,Narendra Modi Stadium,Ahmedabad,India,India,England,,,England,,,field,Nitin Menon,KN Ananthapadmanabhan,England,,,,,,,
2021-03-14,Narendra Modi Stadium,Ahmedabad,India,England,India,,,India,,,field,AK Chaudhary,KN Ananthapadmanabhan,India,,,,,,,
2021-03-16,Narendra Modi Stadium,Ahmedabad,India,India,England,,,England,,,field,AK Chaudhary,VK Sharma,England,,,,,,,
2021-03-17,Sheikh Zayed Stadium,Abu Dhabi,none,Afghanistan,Zimbabwe,,,Zimbabwe,,,field,Aleem Dar,Izatullah Safi,Afghanistan,,,,,,,
2021-03-18,Narendra Modi Stadium,Ahmedabad,India,India,England,,,England,,,field,KN Ananthapadmanabhan,Nitin Menon,India,,,,,,,
2021-03-19,Sheikh Zayed Stadium,Abu Dhabi,none,Afghanistan,Zimbabwe,,,Afghanistan,,,bat,Ahmed Shah Durrani,Aleem Dar,Afghanistan,,,,,,,
2021-03-20,Narendra Modi Stadium,Ahmedabad,India,India,England,,,England,,,field,AK Chaudhary,Nitin Menon,India,,,,,,,
2021-03-20,Sheikh Zayed Stadium,Abu Dhabi,none,Afghanistan,Zimbabwe,,,Afghanistan,,,bat,Aleem Dar,Izatullah Safi,Afghanistan,,,,,,,
